SKU,productCategoryId,productCategory_caption_UKR,productCategory_caption_RU,productCategory_caption_ENG,productTypeId,productType_caption_UKR,productType_caption_RU,productType_caption_ENG,brandId,lagerUnitQuantity,lagerUnitTypeId,lagerUnitType_caption,trademark,countryOfOrigin,countryOfOrigin_caption,commodity_group,commodity_group_caption_UKR,commodity_group_caption_RU,commodity_group_caption_ENG
906,5838.0,Вода імпортна газована,Вода импортная газированная,"Water, import, sparkling",3454.0,Лікувально-столова вода - Імпорт - ПЕТ,Лечебно-столовая вода - Импорт - ПЭТ,Therapeutic-table water — Import — PET,1241.0,1.0,3,л         ,4970.0,14.0,Грузія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
1008,5838.0,Вода імпортна газована,Вода импортная газированная,"Water, import, sparkling",3455.0,Лікувально-столова вода - Імпорт - Скло,Лечебно-столовая вода - Импорт - Стекло,Therapeutic-table water — Import — Glass,1241.0,0.5,3,л         ,4970.0,14.0,Грузія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
1745,5838.0,Вода імпортна газована,Вода импортная газированная,"Water, import, sparkling",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,2737.0,1.5,3,л         ,5098.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
1763,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3466.0,"Столова вода - Україна - ПЕТ - до 0,99л - Сильногазированная","Столовая вода - Украина - ПЭТ - до 0,99л - Сильногазированная",Table water — Ukraine — PET — up to 0.99 L — Strongly sparkling,1424.0,0.5,3,л         ,963.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
2255,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,493.0,1.5,3,л         ,5012.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
2530,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,493.0,0.33,3,л         ,5012.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
3258,5839.0,Вода імпортна слабогазована,Вода импортная слабогазированная,"Water, import, slightly sparkling",3462.0,Столова вода - Імпорт - Скло,Столовая вода - Импорт - Стекло,Table water — Import — Glass,2084.0,0.33,3,л         ,5089.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
3316,5838.0,Вода імпортна газована,Вода импортная газированная,"Water, import, sparkling",3454.0,Лікувально-столова вода - Імпорт - ПЕТ,Лечебно-столовая вода - Импорт - ПЭТ,Therapeutic-table water — Import — PET,1241.0,0.5,3,л         ,4970.0,14.0,Грузія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
4211,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3452.0,Смакова вода - Україна - ПЕТ - від 1л до 2л,Вкусовая вода - Украина - ПЭТ - от 1л до 2л,Flavored water — Ukraine — PET — from 1 to 2 L,1725.0,2.0,3,л         ,4585.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
4537,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1725.0,2.0,3,л         ,4585.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
5251,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3452.0,Смакова вода - Україна - ПЕТ - від 1л до 2л,Вкусовая вода - Украина - ПЭТ - от 1л до 2л,Flavored water — Ukraine — PET — from 1 to 2 L,1951.0,2.0,3,л         ,69.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
9366,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,2084.0,0.33,3,л         ,5138.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
10758,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3457.0,Лікувально-столова вода - Україна - ПЕТ - від 1л до 2л,Лечебно-столовая вода - Украина - ПЭТ - от 1л до 2л,Therapeutic-table water — Ukraine — PET — from 1 to 2 L,5278.0,1.5,3,л         ,4383.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
12140,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1424.0,1.0,3,л         ,963.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
12993,5838.0,Вода імпортна газована,Вода импортная газированная,"Water, import, sparkling",3455.0,Лікувально-столова вода - Імпорт - Скло,Лечебно-столовая вода - Импорт - Стекло,Therapeutic-table water — Import — Glass,1085.0,0.5,3,л         ,6497.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
12994,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,493.0,0.5,3,л         ,5012.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
12997,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,2084.0,0.5,3,л         ,5138.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
13605,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3457.0,Лікувально-столова вода - Україна - ПЕТ - від 1л до 2л,Лечебно-столовая вода - Украина - ПЭТ - от 1л до 2л,Therapeutic-table water — Ukraine — PET — from 1 to 2 L,5278.0,1.5,3,л         ,4384.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
14240,5838.0,Вода імпортна газована,Вода импортная газированная,"Water, import, sparkling",3455.0,Лікувально-столова вода - Імпорт - Скло,Лечебно-столовая вода - Импорт - Стекло,Therapeutic-table water — Import — Glass,1241.0,0.33,3,л         ,4970.0,14.0,Грузія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
16649,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3468.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Негазована,Столовая вода - Украина - ПЭТ - от 1л до 2л - Негазированная,Table water — Ukraine — PET — from 1 to 2 L — Still,1241.0,1.5,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
19197,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3463.0,Столова вода - Україна - ПЕТ - більш 3л,Столовая вода - Украина - ПЭТ - более 3л,Table water — Ukraine — PET — more than 3 L,1725.0,5.0,3,л         ,4585.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
20866,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,2693.0,1.5,3,л         ,1246.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
20872,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3457.0,Лікувально-столова вода - Україна - ПЕТ - від 1л до 2л,Лечебно-столовая вода - Украина - ПЭТ - от 1л до 2л,Therapeutic-table water — Ukraine — PET — from 1 to 2 L,2693.0,1.5,3,л         ,4384.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
20879,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3458.0,Лікувально-столова вода - Україна - Скло,Лечебно-столовая вода - Украина - Стекло,Therapeutic-table water — Ukraine — Glass,2693.0,0.5,3,л         ,4384.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
21697,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3457.0,Лікувально-столова вода - Україна - ПЕТ - від 1л до 2л,Лечебно-столовая вода - Украина - ПЭТ - от 1л до 2л,Therapeutic-table water — Ukraine — PET — from 1 to 2 L,2693.0,1.5,3,л         ,4219.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
21698,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3457.0,Лікувально-столова вода - Україна - ПЕТ - від 1л до 2л,Лечебно-столовая вода - Украина - ПЭТ - от 1л до 2л,Therapeutic-table water — Ukraine — PET — from 1 to 2 L,2693.0,1.5,3,л         ,1245.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
26194,6456.0,Сири напівтверді великопористі,Сыры полутвердые крупнопористые,Semi-hard coarse-pored cheese,1902.0,напівтверді сири - Дорожчі - Національний - Доступний імпорт,полутвердые сыры - Более дорогие - Национальный - Доступный импорт,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,2,кг        ,4891.0,16.0,Польща,5550352,Сири на вагу,Сыры весовые,Cheese
28205,7250.0,,Сырок глазурованный,,3104.0,,Десерты НП - сырок глазированный,,3028.0,36.0,1,г         ,3634.0,,,5550259,Йогуртно-десертна продукція,Йогуртно-Десертная продукция,Yogurts
30898,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,2737.0,0.5,3,л         ,5098.0,7.0,Італія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
30900,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,2737.0,1.5,3,л         ,5098.0,7.0,Італія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
30913,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,2737.0,2.0,3,л         ,5098.0,2.0,Росія,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
31792,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,493.0,1.0,3,л         ,5012.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
32485,5381.0,Банан,Банан,Banana,4752.0,Банан - Звичайний,Банан - Обычный,Banana — Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32490,5422.0,Авокадо,Авокадо,Avocado,4754.0,Тропічні фрукти - Авокадо,Тропические фрукты - Авокадо,Tropical fruit — Avocado,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32507,5428.0,Ківі,Киви,Kiwi,4763.0,Тропічні фрукти - Ківі - Звичайний,Тропические фрукты - Киви - Обычный,Tropical fruit — Kiwi— Plain,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32517,5436.0,Помело,Помело,Pomelo,4783.0,Цитрусові фрукти - Помело - Сортовий,Цитрусовые фрукты - Помело - Сортовой,Citrus fruit — Pomelo — Graded,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32546,5431.0,Апельсин,Апельсин,Orange,4773.0,Цитрусові фрукти - Апельсин - Звичайний,Цитрусовые фрукты - Апельсин - Обычный,Citrus fruit — Orange — Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32549,5432.0,Грейпфрут,Грейпфрут,Grapefruit,4775.0,Цитрусові фрукти - Грейпфрут - Звичайний,Цитрусовые фрукты - Грейпфрут - Обычный,Citrus fruit — Grapefruit — Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32550,5434.0,Лимон,Лимон,Lemon,4778.0,Цитрусові фрукти - Лимон - Звичайний,Цитрусовые фрукты - Лимон - Обычный,Citrus fruit — Lemon — Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32551,5435.0,Мандарин,Мандарин,Mandarin,4780.0,Цитрусові фрукти - Мандарин - Звичайний,Цитрусовые фрукты - Мандарин - Обычный,Citrus fruit — Mandarin — Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32555,5429.0,Кокос,Кокос,Coconut,4765.0,Тропічні фрукти - Кокос - Звичайний,Тропические фрукты - Кокос - Обычный,Tropical fruit — Coconut— Plain,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
32786,5837.0,Вода імпортна негазована,Вода импортная негазированная,"Water, import, still",3460.0,Столова вода - Імпорт - ПЕТ,Столовая вода - Импорт - ПЭТ,Table water — Import — PET,493.0,0.75,3,л         ,5012.0,6.0,Франція,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
34604,5424.0,Ананас,Ананас,Pineapple,4759.0,Тропічні фрукти - Ананас - Сортовий,Тропические фрукты - Ананас - Сортовой,Tropical fruit — Pineapple — Graded,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
34635,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3465.0,"Столова вода - Україна - ПЕТ - до 0,99л - Негазована","Столовая вода - Украина - ПЭТ - до 0,99л - Негазированная",Table water — Ukraine — PET — up to 0.99 L — Still,1241.0,0.5,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
34799,6470.0,Сири розсольні з розсолом,Сыры рассольные с рассолом,Brine-ripened cheese with brine,2567.0,сири ропні - Вітчизняний - Бринза,сыры рассольные - Отечественный - Брынза,Brine-ripened cheese — Domestic — Bryndza,8208.0,1.0,2,кг        ,6644.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
35093,5417.0,Екзотичні фрукти,Экзотические фрукты,Exotic fruit,4772.0,Тропічні фрукти - Екзотичні,Тропические фрукты - Экзотические,Tropical fruit — Exotic,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
35312,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3468.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Негазована,Столовая вода - Украина - ПЭТ - от 1л до 2л - Негазированная,Table water — Ukraine — PET — from 1 to 2 L — Still,1424.0,1.0,3,л         ,963.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
35964,5437.0,Світі,Свити,Sweetie,4784.0,Цитрусові фрукти - Світі,Цитрусовые фрукты - Свити,Citrus fruit — Sweetie,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
36629,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1241.0,1.5,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
37110,5435.0,Мандарин,Мандарин,Mandarin,4780.0,Цитрусові фрукти - Мандарин - Звичайний,Цитрусовые фрукты - Мандарин - Обычный,Citrus fruit — Mandarin — Plain,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
38279,5430.0,Манго,Манго,Mango,4769.0,Тропічні фрукти - Манго - Сортовий,Тропические фрукты - Манго - Сортовой,Tropical fruit — Mango — Graded,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
39002,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3465.0,"Столова вода - Україна - ПЕТ - до 0,99л - Негазована","Столовая вода - Украина - ПЭТ - до 0,99л - Негазированная",Table water — Ukraine — PET — up to 0.99 L — Still,1424.0,0.5,3,л         ,963.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
39167,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3463.0,Столова вода - Україна - ПЕТ - більш 3л,Столовая вода - Украина - ПЭТ - более 3л,Table water — Ukraine — PET — more than 3 L,1241.0,6.0,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
39465,5836.0,Вода України слабогазована,Вода Украины слабогазированная,"Water, Ukraine, slightly sparkling",3470.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Слабогазована,Столовая вода - Украина - ПЭТ - от 1л до 2л - Слабогазированная,Table water — Ukraine — PET — from 1 to 2 L — Slightly sparkling,1241.0,1.5,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
47330,6456.0,Сири напівтверді великопористі,Сыры полутвердые крупнопористые,Semi-hard coarse-pored cheese,1902.0,напівтверді сири - Дорожчі - Національний - Доступний імпорт,полутвердые сыры - Более дорогие - Национальный - Доступный импорт,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,2,кг        ,297.0,16.0,Польща,5550352,Сири на вагу,Сыры весовые,Cheese
49207,5430.0,Манго,Манго,Mango,4768.0,Тропічні фрукти - Манго - Звичайний,Тропические фрукты - Манго - Обычный,Tropical fruit — Mango — Plain,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
49215,5424.0,Ананас,Ананас,Pineapple,4758.0,Тропічні фрукти - Ананас - Звичайний,Тропические фрукты - Ананас - Обычный,Tropical fruit — Pineapple — Plain,,1.0,6,шт        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
49450,6457.0,Сири напівтверді насипні,Сыры полутвердые насыпные,Semi-hard bulk cheese,1897.0,напівтверді сири - Дешевші - Національний - Насипна - Російський,полутвердые сыры - Более дешевые - Национальный - Насыпной - Российский,semi-hard cheese — Cheaper— National — Bulk — Rossiysky,7418.0,1.0,2,кг        ,1192.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
52408,6458.0,Сири напівтверді пластової,Сыры полутвердые пластовой,Semi-hard layered cheese,1902.0,напівтверді сири - Дорожчі - Національний - Доступний імпорт,полутвердые сыры - Более дорогие - Национальный - Доступный импорт,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,2,кг        ,5340.0,16.0,Польща,5550352,Сири на вагу,Сыры весовые,Cheese
52524,6457.0,Сири напівтверді насипні,Сыры полутвердые насыпные,Semi-hard bulk cheese,1897.0,напівтверді сири - Дешевші - Національний - Насипна - Російський,полутвердые сыры - Более дешевые - Национальный - Насыпной - Российский,semi-hard cheese — Cheaper— National — Bulk — Rossiysky,2089.0,1.0,2,кг        ,9913.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
52527,6458.0,Сири напівтверді пластової,Сыры полутвердые пластовой,Semi-hard layered cheese,1892.0,напівтверді сири - Дешевші - Національний - Великопористий / Пластової - Голландський,полутвердые сыры - Более дешевые - Национальный - Крупнопористый/Пластовой - Голландский,semi-hard cheese — Cheaper— National — Coarse-pored/layered — Gollandsky,7418.0,1.0,2,кг        ,1192.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
62413,5381.0,Банан,Банан,Banana,4753.0,Банан - Сортовий,Банан - Сортовой,Banana — Graded,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
63037,5836.0,Вода України слабогазована,Вода Украины слабогазированная,"Water, Ukraine, slightly sparkling",3467.0,"Столова вода - Україна - ПЕТ - до 0,99л - Слабогазована","Столовая вода - Украина - ПЭТ - до 0,99л - Слабогазированная",Table water — Ukraine — PET — up to 0.99 L — Slightly sparkling,1241.0,0.5,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
64165,6457.0,Сири напівтверді насипні,Сыры полутвердые насыпные,Semi-hard bulk cheese,1890.0,"напівтверді сири - Дешевші - Локальний Захід - Комо, Альма-Віта","полутвердые сыры - Более дешевые - Локальный Запад - Комо, Альма-Вита","semi-hard cheese — Cheaper — Local West — Como, Alma Vita",7420.0,1.0,2,кг        ,285.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
64171,6458.0,Сири напівтверді пластової,Сыры полутвердые пластовой,Semi-hard layered cheese,1890.0,"напівтверді сири - Дешевші - Локальний Захід - Комо, Альма-Віта","полутвердые сыры - Более дешевые - Локальный Запад - Комо, Альма-Вита","semi-hard cheese — Cheaper — Local West — Como, Alma Vita",7420.0,1.0,2,кг        ,285.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
64749,5415.0,,Финики,,,,,,,200.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
67509,7250.0,,Сырок глазурованный,,3104.0,,Десерты НП - сырок глазированный,,2147.0,36.0,1,г         ,28.0,,,5550259,Йогуртно-десертна продукція,Йогуртно-Десертная продукция,Yogurts
67802,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1330.0,2.0,3,л         ,2781.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
67803,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1330.0,1.5,3,л         ,2781.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
69531,5417.0,Екзотичні фрукти,Экзотические фрукты,Exotic fruit,4772.0,Тропічні фрукти - Екзотичні,Тропические фрукты - Экзотические,Tropical fruit — Exotic,,1.0,2,кг        ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
71555,6457.0,Сири напівтверді насипні,Сыры полутвердые насыпные,Semi-hard bulk cheese,1896.0,напівтверді сири - Дешевші - Національний - Насипна - Звенигородський,полутвердые сыры - Более дешевые - Национальный - Насыпной - Звенигородский,semi-hard cheese — Cheaper— National — Bulk — Zvenigorodsky,7419.0,1.0,2,кг        ,2298.0,1.0,Україна,5550352,Сири на вагу,Сыры весовые,Cheese
75710,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3463.0,Столова вода - Україна - ПЕТ - більш 3л,Столовая вода - Украина - ПЭТ - более 3л,Table water — Ukraine — PET — more than 3 L,1241.0,3.0,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
85687,5834.0,Вода України негазована,Вода Украины негазированная,"Water, Ukraine, still",3472.0,Столова вода - Україна - Скло,Столовая вода - Украина - Стекло,Table water — Ukraine — Glass,1241.0,0.5,3,л         ,1323.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
